ticker,group,date,ao,ac,acBottomDepth,entryPrice,return4W,return8W,return12W,maxDrawdown12W,aoLagWeeks
XLI,Cyclical,2002-08-02,-3.6395,-0.7434,0.1945,13.57,4.48,-6.68,-1.71,-15.84,
XLI,Cyclical,2002-10-18,-3.8691,-0.4744,0.2169,13.11,0.25,0.69,4.63,-5.34,
XLI,Cyclical,2003-02-28,-1.5281,-0.3552,0.0661,12.39,2.67,8.54,11.36,-4.66,9
XLI,Cyclical,2005-05-06,-0.2868,-0.5632,0.0878,19.73,2.16,-0.09,3.36,-3.52,
XLI,Cyclical,2005-07-15,-0.4663,-0.2181,0.0816,20.08,0.80,0.67,-0.38,-2.89,4
XLI,Cyclical,2005-09-16,-0.1512,-0.1319,0.0220,20.21,-1.59,1.39,4.45,-2.88,9
XLI,Cyclical,2005-09-30,-0.2513,-0.0854,0.0685,20.25,-1.69,4.81,6.20,-2.88,7
XLI,Cyclical,2005-10-28,-0.3124,-0.0541,0.0998,19.90,6.61,8.03,5.05,-2.76,3
XLI,Cyclical,2006-08-18,-0.9977,-0.5182,0.3896,22.11,1.49,7.16,6.97,-1.85,8
XLI,Cyclical,2008-02-01,-2.6717,-1.2910,0.0126,26.53,-4.23,-2.24,1.82,-5.92,
XLI,Cyclical,2008-07-25,-3.0822,-1.0249,0.3335,24.39,2.38,-2.45,-30.85,-33.59,
XLI,Cyclical,2008-11-07,-9.7618,-2.1878,0.6815,16.95,-4.90,2.87,-12.68,-15.12,
XLI,Cyclical,2009-03-20,-7.6648,-0.5063,0.1831,12.61,21.39,25.36,35.65,-7.74,9
XLI,Cyclical,2010-07-30,-0.7444,-0.0892,1.2836,22.56,-5.12,4.32,7.77,-6.84,2
XLI,Cyclical,2010-09-17,-0.1509,-0.1729,0.1157,22.98,4.99,5.58,12.04,-3.05,1
XLI,Cyclical,2011-09-02,-4.8071,-1.9603,0.3507,23.43,-4.76,11.67,1.57,-9.05,
XLI,Cyclical,2012-06-15,-0.7185,-0.9668,0.1731,27.12,-0.24,4.93,5.85,-2.24,10
XLI,Cyclical,2014-10-24,-1.0023,-1.0344,0.0648,43.66,6.46,5.95,2.47,-4.65,3
XLI,Cyclical,2015-07-17,-1.1949,-0.5279,0.1440,45.32,-0.98,-6.21,-2.27,-8.80,
XLI,Cyclical,2015-08-07,-1.8196,-0.3478,0.3240,44.31,-6.20,-5.59,1.64,-7.90,
XLI,Cyclical,2015-09-18,-3.6786,-0.7329,0.0779,42.21,3.32,5.23,3.44,-4.98,9
XLI,Cyclical,2016-02-05,-3.3159,-1.2000,0.0127,41.78,7.47,11.94,12.80,-1.83,6
XLI,Cyclical,2018-07-20,-2.3876,-1.0964,0.1393,65.30,2.47,6.22,-0.25,-7.62,5
XLI,Cyclical,2018-11-16,-3.1242,-2.4310,0.3737,63.45,-6.86,-5.13,2.14,-13.64,
XLI,Cyclical,2019-01-11,-8.0787,-1.9940,0.4369,60.19,7.66,9.43,14.12,-3.98,7
XLI,Cyclical,2019-09-06,-0.4533,-1.6413,0.3439,69.17,-1.54,4.47,6.84,-4.21,1
XLI,Cyclical,2020-04-03,-16.2870,-8.5030,0.5380,51.41,10.53,20.11,17.92,-11.17,
XLI,Cyclical,2021-10-15,-0.7628,-2.0597,0.3391,95.98,3.90,2.39,3.90,-4.40,3
XLI,Cyclical,2022-03-04,-3.2206,-1.3057,0.8701,94.01,2.12,-4.92,-4.59,-13.48,
XLI,Cyclical,2022-06-03,-7.4810,-1.9185,0.8686,89.77,-7.40,0.53,0.40,-10.46,12
XLI,Cyclical,2022-07-22,-10.2723,-0.4230,2.3641,85.35,9.28,-1.37,-5.87,-16.64,5
XLI,Cyclical,2022-10-07,-5.5870,-3.1801,0.1165,80.73,11.64,20.16,15.88,-4.13,6
XLI,Cyclical,2023-10-13,-0.4132,-2.1913,0.1201,98.11,0.79,7.09,10.11,-5.22,7
XLI,Cyclical,2025-03-28,-1.5216,-2.2985,0.2351,128.44,-0.88,8.21,9.39,-9.38,9
XLI,Cyclical,2025-04-17,-7.1709,-3.3994,0.5600,123.65,14.75,13.85,20.23,-2.05,6
XLK,Growth/Tech,2000-08-25,-1.2671,-0.7918,0.1354,20.49,-10.94,-18.12,-27.67,-31.49,2
XLK,Growth/Tech,2000-10-27,-8.1295,-2.8850,0.4763,15.70,-8.81,-22.73,-10.10,-29.34,
XLK,Growth/Tech,2000-12-29,-12.5130,-1.2963,0.8302,11.60,19.39,-6.32,-14.40,-33.19,
XLK,Growth/Tech,2001-03-23,-12.3412,-1.5864,0.1266,9.93,11.94,10.04,-1.31,-12.87,
XLK,Growth/Tech,2001-10-05,-5.9078,-0.9247,0.1219,7.66,7.01,18.72,18.82,-5.47,12
XLK,Growth/Tech,2002-03-01,-1.3950,-0.8688,0.0526,8.04,-0.09,-13.32,-12.86,-22.84,
XLK,Growth/Tech,2002-05-17,-3.0701,-0.7545,0.1910,7.39,-15.55,-22.67,-29.54,-32.85,
XLK,Growth/Tech,2002-07-12,-4.9935,-0.6126,0.1419,5.71,-8.88,-9.86,-22.83,-22.83,
XLK,Growth/Tech,2002-08-09,-5.4903,-0.2539,0.4575,5.21,-1.07,-15.30,8.18,-21.66,
XLK,Growth/Tech,2002-10-18,-4.2303,-0.0918,0.1084,5.11,14.59,10.88,20.35,-11.87,7
XLK,Growth/Tech,2003-02-28,-0.2364,-0.3688,0.0705,5.39,1.24,5.44,11.16,-7.21,6
XLK,Growth/Tech,2004-05-28,-0.5468,-0.3757,0.1182,7.54,1.79,-6.45,-7.39,-11.99,
XLK,Growth/Tech,2004-08-20,-1.3899,-0.3906,0.0765,6.98,3.00,4.23,12.86,-1.65,11
XLK,Growth/Tech,2005-04-29,-0.8909,-0.3184,0.0540,7.20,7.63,5.94,11.08,-1.67,7
XLK,Growth/Tech,2006-06-23,-1.1915,-0.4565,0.1748,7.70,-5.14,3.99,9.01,-6.54,
XLK,Growth/Tech,2006-08-04,-1.5560,-0.0930,0.5384,7.59,7.69,12.03,15.90,-0.89,7
